sample_id	inv_id	status	kaks_file	n_genes_input	n_genes_found	n_genes_missing	sample_total_genes_in_kaks	sample_background_genes	bg_kaks_median	bg_kaks_p90	inv_kaks_median	inv_kaks_p90	kaks_shift_ratio_median	kaks_shift_ratio_p90	kaks_shift_delta_median	kaks_shift_delta_p90
Ambroisa_artemisiifolia	Ambroisa_artemisiifolia_CM063530.1:12212886-13597032	ok	Ambroisa_artemisiifolia.gene_kaks.csv	76	58.0	18.0	39507.0	35104.0	0.3975795	0.8369757	0.520192	0.8757025000000004	1.3083974400088536	1.0462699215759794	0.12261250000000001	0.038726800000000394
Ambroisa_artemisiifolia	Ambroisa_artemisiifolia_CM063530.1:25151089-25198500	no_genes_found_in_kaks	Ambroisa_artemisiifolia.gene_kaks.csv	1	0.0	1.0	39507.0	35104.0	0.3975795	0.8369757						
Ambroisa_artemisiifolia	Ambroisa_artemisiifolia_CM063530.1:27092449-27280260	ok	Ambroisa_artemisiifolia.gene_kaks.csv	3	3.0	0.0	39507.0	35104.0	0.3975795	0.8369757	1.04881	1.248274	2.6379881256453115	1.4914100851434517	0.6512305	0.4112983000000001
Ambroisa_artemisiifolia	Ambroisa_artemisiifolia_CM063530.1:28795970-28920429	ok	Ambroisa_artemisiifolia.gene_kaks.csv	3	2.0	1.0	39507.0	35104.0	0.3975795	0.8369757	0.31501049999999997	0.4000557	0.7923207811267935	0.47797767605439445	-0.082569	-0.43692
Ambroisa_artemisiifolia	Ambroisa_artemisiifolia_CM063530.1:32895647-33364770	ok	Ambroisa_artemisiifolia.gene_kaks.csv	24	16.0	8.0	39507.0	35104.0	0.3975795	0.8369757	0.3713495	0.6720915000000001	0.9340257734616599	0.8030000154126339	-0.026229999999999976	-0.16488419999999993
Ambroisa_artemisiifolia	Ambroisa_artemisiifolia_CM063530.1:8791270-9456107	ok	Ambroisa_artemisiifolia.gene_kaks.csv	43	34.0	9.0	39507.0	35104.0	0.3975795	0.8369757	0.3148685	0.6241652	0.7919636198546455	0.7457387353061743	-0.08271099999999998	-0.2128105
Ambroisa_artemisiifolia	Ambroisa_artemisiifolia_CM063531.1:10585289-11617633	ok	Ambroisa_artemisiifolia.gene_kaks.csv	90	65.0	25.0	39507.0	35104.0	0.3975795	0.8369757	0.306195	0.6908738	0.7701478572210086	0.8254406908109757	-0.09138449999999998	-0.1461019
Ambroisa_artemisiifolia	Ambroisa_artemisiifolia_CM063531.1:23008246-23010411	ok	Ambroisa_artemisiifolia.gene_kaks.csv	1	1.0	0.0	39507.0	35104.0	0.3975795	0.8369757	0.122514	0.122514	0.3081496908165537	0.14637700951174568	-0.27506549999999996	-0.7144617
Ambroisa_artemisiifolia	Ambroisa_artemisiifolia_CM063531.1:31826840-31829912	ok	Ambroisa_artemisiifolia.gene_kaks.csv	1	1.0	0.0	39507.0	35104.0	0.3975795	0.8369757	0.274854	0.274854	0.6913183401055638	0.3283894622030245	-0.12272549999999999	-0.5621217000000001
Ambroisa_artemisiifolia	Ambroisa_artemisiifolia_CM063531.1:32654359-32967565	ok	Ambroisa_artemisiifolia.gene_kaks.csv	15	11.0	4.0	39507.0	35104.0	0.3975795	0.8369757	0.483271	0.704524	1.215532994030125	0.8417496469730245	0.08569150000000003	-0.13245169999999995
Ambroisa_artemisiifolia	Ambroisa_artemisiifolia_CM063531.1:3381268-3450670	ok	Ambroisa_artemisiifolia.gene_kaks.csv	7	7.0	0.0	39507.0	35104.0	0.3975795	0.8369757	0.397587	0.6687428000000001	1.000018864151698	0.798999062935758	7.500000000049134e-06	-0.1682328999999999
Ambroisa_artemisiifolia	Ambroisa_artemisiifolia_CM063531.1:34201997-34203433	ok	Ambroisa_artemisiifolia.gene_kaks.csv	1	1.0	0.0	39507.0	35104.0	0.3975795	0.8369757	0.185868	0.185868	0.46749895303958083	0.2220709633505489	-0.21171149999999997	-0.6511077
