sample_id,kingdom,tech_platform,coverage_hifi,syri_aln_coverage,gene_counts ,inv_count_total,inv_count_small_lt10kb,inv_count_medium_10kb_1Mb,inv_count_large_gt1Mb,inv_count_per_Gb,inv_len_mean_bp,inv_len_median_bp,sd_inv_length,q25_inv_length,q75_inv_length,min_inv_length,max_inv_length,mean_log10_inv_length,median_log10_inv_length,BUSCO_completeness,BUSCO_duplication,n_chromosomes,te_prop_genome,gene_density,asm_total_len_bp,asm_scaffold_N50_Mb,pi_genome_wide,indel_rate,inversions_with_tr,inversions_with_genes,breakpoint_genes,inversions_with_repeat
Ambroisa_artemisiifolia,Viridiplantae,HiFi+Hi-C,,,166767,148,67,58,23,143.8586715,712514.3784,27859,2012381.918,1191.75,483335.5,291,16019354,5.852793633,4.444965523,99,13.7,18,0.651,0.227643,1028787479,60,0.011231956,0.281614586,134,98,53,140
Bauhinia_championii,Viridiplantae,HiFi+Hi-C,,,118474,41,22,17,2,110.8806353,176275.439,4510,524616.0034,568,61975,264,2854629,5.246191805,3.654176542,97.6,29.3,13,0.3974,0.411899,369767001,29,0.010790534,0.100740274,34,24,11,38
Cannabis_sativa,Viridiplantae,HiFi+Hi-C,,,103668,98,63,30,5,132.4430266,218037.0714,2355,762946.254,724,42765.5,225,6091827,5.33853034,3.371990911,99,2.1,10,0.78,0.211654,739940807,78,0.007646838,0.262889308,82,40,25,94
Cephalopholis_sonnerati,Metazoa,HiFi+Hi-C,,,141196,50,47,3,0,49.34754064,4456,778.5,18156.69001,471.75,1088,262,125741,3.648945182,2.891258617,97.9,0.3,23,0.4346,0.492109,1013221720,44,0.007429627,0.041840271,21,28,28,47
Chrysanthemum_indicum,Viridiplantae,HiFi+Hi-C,,,281685,553,192,307,54,191.3337551,677735.3852,55367,4739138.164,3157,231082,221,104240294,5.831060161,4.743250992,93.7,9.1,9,0.7872,0.111541,2890237532,333,#N/A,#N/A,486,398,175,532
Coptis_teeta,Viridiplantae,HiFi+Hi-C,,,148559,64,46,18,0,72.53901174,32233.26563,2234,66588.45835,626.5,32383.75,226,376715,4.508304307,3.349083169,98.2,9.2,9,0.6881,0.253695,882283870,98,0.002432051,0.091557663,50,29,14,58
Coriaria_nepalensis,Viridiplantae,HiFi+Hi-C,,,103622,23,9,10,4,72.64887167,548653,15970,1122678.994,7786,165274,442,3838599,5.739297758,4.203304916,99.1,39.9,20,0.5319,0.32803,316591290,12,0.002622302,0.065027798,19,7,6,23
Dianthus_caryophyllus,Viridiplantae,HiFi+Hi-C,,,105147,51,29,18,4,89.86851317,227951.3922,2872,588280.4915,648.5,98276,204,2977311,5.357842249,3.458184436,98.7,6,15,0.6857,0.25713,567495758,37,0.002366733,0.117746863,43,28,19,46
Durio_zibethinus,Viridiplantae,HiFi+Hi-C,,,285915,34,19,12,3,49.58540997,449545.6176,2973.5,1200085.611,426.5,114431.5,292,5743146,5.652773768,3.473267943,97.7,33,25,#N/A,0.439577,685685568,26,0.008177076,0.063720859,28,23,15,0
Fagopyrum_tataricum,Viridiplantae,HiFi+Hi-C,,,118816,16,2,14,0,35.26472269,59172.875,35103,81920.08173,24519.5,49912.25,1838,346510,4.772122671,4.545344234,97.8,6.7,8,0.577,0.322249,453711210,56,0.000425641,0.008030179,16,12,5,16
Ficus_carica,Viridiplantae,HiFi+Hi-C,,,98456,160,9,130,21,461.252473,469719.45,259509.5,620734.5293,83521.5,601874.5,602,3893137,5.671838544,5.414153261,97.4,14.5,13,0.4749,0.430159,346881609,27,0.002600291,0.033626754,0,0,0,160
Flueggea_virosa,Viridiplantae,HiFi+Hi-C,,,75162,50,26,20,4,102.5969064,289773.66,7823.5,743078.1869,1122.25,129847.25,224,3627175,5.462058906,3.893401087,99.3,2.1,13,0.6895,0.161161,487344129,38,0.004069861,0.138563716,39,18,4,49
Fragaria_chiloensis,Viridiplantae,HiFi+Hi-C,,,272970,164,114,48,2,214.0679519,56153.48171,1463,179342.6704,642.25,21670.5,219,1252948,4.749376689,3.165244326,99.4,98.8,27,0.4321,0.372676,766111875,28,0.01056269,0.27703763,118,88,59,139
Fragaria_virginiana,Viridiplantae,HiFi+Hi-C,,,266997,164,121,39,4,224.1212777,104365.2317,1584,425039.5048,555.75,11803.75,199,4117967,5.018555842,3.199755177,99.6,98.5,27,0.4117,0.382266,731746676,26,0.008044491,0.222702474,123,79,52,145
Helianthus_deserticola,Viridiplantae,HiFi+Hi-C,,,423821,445,247,163,35,102.9459926,477476.4921,5383,1975337.846,773,145138,214,24472020,5.678951995,3.73102438,99.5,18.2,17,0.8298,0.153118,4322654906,256,#N/A,#N/A,376,247,169,426
